IPOrig,PortOrig,IPResp,PortResp,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
192.168.1.193,50174,134.209.72.171,4554,tcp,-,3.104722,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50174,134.209.72.171,4554,tcp,-,0.000006,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50174,134.209.72.171,4554,tcp,-,0.000005,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50196,134.209.72.171,4554,tcp,-,1.262268,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50198,134.209.72.171,4554,tcp,-,0.211868,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50200,134.209.72.171,4554,tcp,-,1.233542,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50202,134.209.72.171,4554,tcp,-,3.119966,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50202,134.209.72.171,4554,tcp,-,0.000004,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50202,134.209.72.171,4554,tcp,-,0.317318,11,11,RSTR,0,ShADdar,8,454,10,534,Malicious C&C
192.168.1.193,50204,134.209.72.171,4554,tcp,-,3.332338,11,11,SF,0,ShADdfrFr,14,798,10,510,Malicious C&C
192.168.1.193,50206,134.209.72.171,4554,tcp,-,3.090985,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50206,134.209.72.171,4554,tcp,-,0.000005,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50206,134.209.72.171,4554,tcp,-,0.197886,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50214,134.209.72.171,4554,tcp,-,0.19163,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50216,134.209.72.171,4554,tcp,-,0.228615,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50218,134.209.72.171,4554,tcp,-,1.207057,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50220,134.209.72.171,4554,tcp,-,0.20463,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50222,134.209.72.171,4554,tcp,-,0.24361,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50224,134.209.72.171,4554,tcp,-,0.213876,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50226,134.209.72.171,4554,tcp,-,0.226869,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50228,134.209.72.171,4554,tcp,-,3.113222,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50228,134.209.72.171,4554,tcp,-,0.000004,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50228,134.209.72.171,4554,tcp,-,0.203883,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50230,134.209.72.171,4554,tcp,-,0.235611,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50232,134.209.72.171,4554,tcp,-,0.229362,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50234,134.209.72.171,4554,tcp,-,3.126216,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50234,134.209.72.171,4554,tcp,-,0.000005,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50238,134.209.72.171,4554,tcp,-,3.725896,11,11,RSTR,0,ShADadr,14,820,10,534,Malicious C&C
192.168.1.193,50240,134.209.72.171,4554,tcp,-,1.2213,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50242,134.209.72.171,4554,tcp,-,0.227366,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50244,134.209.72.171,4554,tcp,-,3.091493,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50244,134.209.72.171,4554,tcp,-,0.000002,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50244,134.209.72.171,4554,tcp,-,0.000005,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50246,134.209.72.171,4554,tcp,-,1.238524,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50248,134.209.72.171,4554,tcp,-,3.305109,11,11,SF,0,ShADdfrFr,14,798,10,510,Malicious C&C
192.168.1.193,50252,134.209.72.171,4554,tcp,-,0.198612,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50254,134.209.72.171,4554,tcp,-,1.214555,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50256,134.209.72.171,4554,tcp,-,0.228103,11,11,RSTR,0,ShADdrfFr,10,558,10,510,Malicious C&C
192.168.1.193,50258,134.209.72.171,4554,tcp,-,0.235862,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50260,134.209.72.171,4554,tcp,-,0.212874,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50262,134.209.72.171,4554,tcp,-,3.316347,11,11,SF,0,ShADdfrFr,14,798,10,510,Malicious C&C
